module_name,provider,major_version,first_release_version,release_date,releases_count,release_year,release_month
azure-app-service-exposed,azurerm,2,2.0.0,2025-10-13T13:16:52.571843Z,3,2025,2025-10
azure-function-app,azurerm,4,4.0.0,2025-10-13T13:16:51.665656Z,4,2025,2025-10
azure-function-app-exposed,azurerm,2,2.0.0,2025-10-13T13:16:51.490859Z,2,2025,2025-10
azure-app-service,azurerm,2,2.0.0,2025-10-13T13:16:51.451345Z,3,2025,2025-10
azure-storage-account,azurerm,2,2.0.0,2025-09-25T13:27:18.942993Z,4,2025,2025-09
azure-postgres-server,azurerm,2,2.0.0,2025-09-23T12:39:41.690669Z,2,2025,2025-09
azure-api-management,azurerm,2,2.0.0,2025-09-08T12:42:53.965029Z,7,2025,2025-09
azure-function-app,azurerm,3,3.0.0,2025-09-02T15:18:54.406602Z,1,2025,2025-09
azure-github-environment-bootstrap,azurerm,3,3.0.0,2025-08-07T07:22:52.352071Z,6,2025,2025-08
azure-function-app,azurerm,2,2.0.0,2025-07-10T12:51:32.417333Z,3,2025,2025-07
azure-core-infra,azurerm,2,2.0.0,2025-07-04T13:35:31.254782Z,13,2025,2025-07
azure-storage-account,azurerm,1,1.0.0,2025-05-29T13:34:47.071632Z,2,2025,2025-05
azure-function-app-exposed,azurerm,1,1.0.0,2025-05-15T14:54:12.776493Z,2,2025,2025-05
azure-app-service,azurerm,1,1.0.0,2025-05-15T14:54:10.701292Z,2,2025,2025-05
azure-app-service-exposed,azurerm,1,1.0.0,2025-05-15T14:54:08.091995Z,2,2025,2025-05
azure-function-app,azurerm,1,1.0.0,2025-05-15T14:54:02.964673Z,2,2025,2025-05
azure-app-service-plan-autoscaler,azurerm,2,2.0.0,2025-05-12T09:21:58.307694Z,2,2025,2025-05
azure-github-environment-bootstrap,azurerm,2,2.0.0,2025-04-29T17:53:32.166832Z,11,2025,2025-04
azure-role-assignments,azurerm,1,1.0.0,2025-04-01T12:58:18.479602Z,11,2025,2025-04
azure-role-assignments,azurerm,0,0.1.1,2025-04-01T12:56:24.72785Z,5,2025,2025-04
azure-api-management,azurerm,1,1.0.0,2025-03-12T15:08:48.483179Z,11,2025,2025-03
azure-storage-account,azurerm,0,0.0.4,2025-03-10T08:51:31.507428Z,14,2025,2025-03
azure-postgres-server,azurerm,0,0.1.1,2025-03-10T08:51:08.895143Z,7,2025,2025-03
azure-postgres-server,azurerm,1,1.0.1,2025-03-10T08:51:08.853209Z,8,2025,2025-03
azure-naming-convention,azurerm,0,0.0.4,2025-03-10T08:50:44.646498Z,7,2025,2025-03
azure-github-environment-bootstrap,azurerm,0,0.0.4,2025-03-10T08:50:13.435076Z,6,2025,2025-03
azure-github-environment-bootstrap,azurerm,1,1.0.2,2025-03-10T08:50:13.066534Z,11,2025,2025-03
azure-function-app-exposed,azurerm,0,0.1.2,2025-03-10T08:49:51.520332Z,16,2025,2025-03
azure-function-app,azurerm,0,0.1.3,2025-03-10T08:49:33.27058Z,20,2025,2025-03
azure-federated-identity-with-github,azurerm,0,0.0.4,2025-03-10T08:49:05.836146Z,4,2025,2025-03
azure-federated-identity-with-github,azurerm,1,1.0.0,2025-03-10T08:49:05.827745Z,4,2025,2025-03
azure-event-hub,azurerm,0,0.0.6,2025-03-10T08:47:19.218708Z,12,2025,2025-03
azure-cosmos-account,azurerm,0,0.0.6,2025-03-10T08:47:02.670186Z,16,2025,2025-03
azure-core-infra,azurerm,1,1.0.0,2025-03-10T08:46:36.876219Z,11,2025,2025-03
azure-core-infra,azurerm,0,0.0.5,2025-03-10T08:46:36.855745Z,5,2025,2025-03
azure-app-service-plan-autoscaler,azurerm,0,0.0.2,2025-03-10T08:46:10.312371Z,2,2025,2025-03
azure-app-service-plan-autoscaler,azurerm,1,1.0.0,2025-03-10T08:46:09.931811Z,5,2025,2025-03
azure-app-service-exposed,azurerm,0,0.0.5,2025-03-07T17:06:32.267836Z,16,2025,2025-03
azure-app-service,azurerm,0,0.1.2,2025-03-07T17:06:11.251968Z,18,2025,2025-03
azure-api-management,azurerm,0,0.0.6,2025-03-07T17:05:51.114559Z,7,2025,2025-03